ALLOT_NAME,ALLOT_NO,BLMDATA,GIS_ACRES,ADMIN_ST,ADM_OFC_CD,ADM_UNIT_C,ST_ALLOT,GlobalID,SHAPE_Leng,SHAPE_Area,FID,OBJECTID
Owens,1348,1,24135.34191,ID,B02000,IDB02000,ID01348,{FE458E0E-4F94-4759-8B82-7E5C2B4C10AA},59499.76048,97672651.36,1746,280453
Big Springs,803,1,204808.5626,ID,B02000,IDB02000,ID00803,{FD087211-1DA9-4C2C-A693-10AA0B41A9E8},290435.8653,828834138.8,1755,280462
Elephant Butte,513,1,10298.52153,ID,B03000,IDB03000,ID00513,{ECD05866-6EED-421D-9BB1-5036CEA5E8CB},72690.13388,41676803.53,1801,280508
Wroten,597,1,1847.234401,ID,B03000,IDB03000,ID00597,{AD7F55AB-E313-4E7C-B1F6-258284F235D7},12168.80649,7475522.092,1810,280517
Silver City,569,1,70772.59344,ID,B03000,IDB03000,ID00569,{2BF2599A-4539-4F6E-B395-D65D6DB1CA2B},114988.8653,286407661.9,1852,280559
Echo Clover,341,1,2512.607579,ID,T01000,IDT01000,ID00341,{07C6A123-8D56-4509-9E76-8E2FF5C56D65},14085.88563,10168202.5,1902,280609
Antelope Butte N,1087,1,8101.217968,ID,T01000,IDT01000,ID01087,{FCE48F6F-441A-4C22-94E3-ACC7B4D895DD},29069.30507,32784596.18,1905,280612
Jackson Creek,506,1,10743.76947,ID,B03000,IDB03000,ID00506,{4579CCD4-479A-441B-ACF7-CFF5608888F8},59214.66121,43478665.19,1916,280623
Blackstock Springs,515,1,17339.58046,ID,B03000,IDB03000,ID00515,{6972491D-216E-449E-92DD-09999B62EE1E},44379.08566,70171071.27,1917,280624
Texas Basin FFR,472,1,2007.218439,ID,B03000,IDB03000,ID00472,{9FC66CEB-D0E1-496B-83F3-EB371CC6EC0A},18652.12467,8122957.093,1918,280625
Rockville,565,1,13631.08143,ID,B03000,IDB03000,ID00565,{B8EB70D4-67D4-4F49-B53D-A87D87495110},43391.12798,55163248.52,1919,280626
Burgess FFR,638,1,707.8715486,ID,B03000,IDB03000,ID00638,{FA01DC9E-0657-4800-A443-A31491029FE5},10765.34393,2864665.901,1921,280628
E Roseworth Point,1061,1,2614.244288,ID,T01000,IDT01000,ID01061,{107AC8B8-A93C-49B3-A946-050BFF0390B7},17496.59678,10579513.31,1922,280629
Cedar Crossing Seed,1022,1,4972.793671,ID,T01000,IDT01000,ID01022,{11548714-45E5-47C4-B779-B9B6F4A32B14},21996.99471,20124261.94,1924,280631
Buck Flat AMP,1122,1,23426.70287,ID,T01000,IDT01000,ID01122,{12206D2D-AD6C-4CDE-AF19-A38AB0463C85},47979.59895,94804879.52,1925,280632
S Roseworth,1151,1,195.6303261,ID,T01000,IDT01000,ID01151,{18B04E7F-5606-4FB4-A21F-B28650EA1BBA},5913.688524,791690.9862,1926,280633
Cedar Canyon Field,1013,1,1012.053478,ID,T01000,IDT01000,ID01013,{269CADEB-C826-4C12-8BFA-B3C0F40A0909},11100.99463,4095651.386,1927,280634
